ID,Rating,Reviews,Size,Installs,Type,Content Rating
51,1,1,1000000,10,Free,Everyone
1918,1,3,1000000,500,Free,Everyone
3050,1,171,1000000,1,000,Paid,Everyone
3324,1,96,1000000,50,000,Free,Everyone
4334,0,1218,1000000,100,000,Free,Everyone
4361,0,223,1000000,5,000,Paid,Everyone
268,1,1,1100000,10,Free,Everyone
568,0,333,1100000,100,000,Free,Everyone
1008,1,229,1100000,500,000,Free,Everyone
1230,0,5,1100000,500,Free,Everyone
2126,0,668,1100000,100,000,Free,Everyone
2581,1,99,1100000,10,000,Free,Everyone
2951,1,9,1100000,500,Free,Everyone
3390,1,2115,1100000,500,000,Free,Everyone
4010,1,36,1100000,5,000,Free,Everyone
4059,0,387,1100000,50,000,Free,Everyone
4257,0,250,1100000,100,000,Free,Everyone
4707,1,0,1100000,100,Free,Everyone
5117,1,2645,1100000,50,000,Paid,Everyone
5188,1,279,1100000,10,000,Free,Everyone
5343,1,7,1100000,500,Free,Everyone
5419,1,94,1100000,1,000,Paid,Everyone
5583,0,710,1100000,100,000,Free,Everyone
282,0,102,1200000,10,000,Free,Everyone
500,1,15,1200000,100,Paid,Everyone
632,1,25,1200000,1,000,Paid,Everyone
665,1,0,1200000,0,Free,Everyone
773,0,77,1200000,1,000,Paid,Everyone
791,1,152,1200000,10,000,Free,Everyone
882,0,1615,1200000,10,000,Paid,Everyone
1293,1,0,1200000,100,Free,Everyone
1412,0,76,1200000,1,000,Paid,Everyone
2253,1,1,1200000,10,Paid,Everyone
2439,1,4,1200000,100,Paid,Teen
2444,1,161,1200000,5,000,Paid,Everyone
2488,1,8,1200000,500,Free,Everyone
2786,0,16,1200000,500,Free,Everyone
3234,1,7,1200000,100,Paid,Everyone
3365,0,2206,1200000,100,000,Free,Everyone
3405,1,12,1200000,100,Paid,Teen
4102,1,3,1200000,100,Free,Everyone
4209,0,66,1200000,50,000,Free,Everyone
4435,1,17,1200000,1,000,Free,Everyone
4676,0,2525,1200000,100,000,Free,Everyone
4914,1,2,1200000,100,Free,Everyone
5208,1,107,1200000,50,000,Free,Everyone
5341,1,8,1200000,10,Free,Teen
5430,1,2,1200000,500,Paid,Everyone
5605,1,9,1200000,100,000,Free,Everyone
5708,1,14428,1200000,1,000,000,Free,Everyone
443,0,2,1300000,100,Free,Everyone
968,0,16,1300000,10,000,Free,Everyone
969,1,9716,1300000,1,000,000,Free,Everyone
1117,1,1,1300000,50,Free,Everyone
1579,1,0,1300000,10,Free,Everyone
1649,1,13304,1300000,1,000,000,Free,Everyone
1667,1,34079,1300000,1,000,000,Free,Teen
1868,1,1,1300000,100,Free,Everyone
2312,1,547,1300000,10,000,Free,Everyone
2818,0,45,1300000,5,000,Free,Everyone
2896,1,4074,1300000,500,000,Free,Everyone
3043,1,14,1300000,1,000,Free,Everyone
3411,0,119,1300000,10,000,Free,Everyone
3418,1,18,1300000,50,Free,Everyone
3451,0,7,1300000,1,000,Free,Everyone
3930,1,184,1300000,10,000,Free,Everyone
5336,1,6,1300000,100,Free,Everyone
5715,0,6,1300000,100,Paid,Everyone
221,1,5,1400000,100,Free,Everyone
281,1,0,1400000,50,Free,Everyone
