provincia_ciudad;superficie;altura;habitantes;densidad;promedio;mediana;percentil25;percentil75;percentil10;percentil90
Cordoba_Rio Tercero;22;389;46800;2127.27;89100;85000;75250;85000;65000;99000
Cordoba_Villa Allende;656.16;510;48762;1855.2;75700;73500;61500;92250;52600;99700
Cordoba_Villa Carlos Paz;26.63;661;30300;2344.09;56300;49500;34750;68750;30000;90000
Cordoba_Villa General Belgrano;656.16;720;8629;1855.2;97400;105000;81750;108750;75000;111000
Cordoba_Villa Maria;656.16;196;79351;1855.2;80000;100000;45000;103000;45000;107000
Capital Federal_Abasto;4.2;18;132863.5;31632.3;81200;80000;67250;92500;62700;97400
Capital Federal_Agronomia;2.13;18;13963;6555;101700;96500;74250;138000;58600;140500
Capital Federal_Almagro;4.06;18;128206;31577.8;121900;116000;102250;143500;95500;158700
Capital Federal_Balvanera;4.34;18;137521;31686.8;83500;87000;68750;96500;62400;105000
Capital Federal_Barracas;7.9;18;73377;9288.2;128200;131000;117250;141750;100600;151800
Capital Federal_Barrio Norte;4.77;18;101467;19711;172100;169000;117000;216250;106700;238100
Capital Federal_Belgrano;8.02;18;126816;15812.4;145300;145500;115500;176000;99500;179700
Capital Federal_Boca;3.38;18;49745;13756;79100;81500;76000;84750;58500;92800
Capital Federal_Boedo;2.61;18;45563;17457;94800;82500;69000;114750;66800;137000
Capital Federal_Caballito;6.8;18;176076;25893.5;176600;160000;128750;233500;104000;253100
Capital Federal_Catalinas;2.21;18;39175;17726;110000;95000;82000;118250;80000;172500
Capital Federal_Centro / Microcentro;2.78;18;39160.67;14652;100100;99500;90250;111500;70600;129100
Capital Federal_Chacarita;3.12;18;25778;8262.1;114800;124000;115750;128750;78500;130500
Capital Federal_Coghlan;1.28;18;18021;14078.9;128300;133500;115500;137750;103500;155400
Capital Federal_Colegiales;2.29;18;52391;22878.1;173200;183500;151250;196000;143700;208100
Capital Federal_Congreso;4.34;18;137521;31686.8;96600;85000;69750;118750;62500;145500
Capital Federal_Constitucion;2.11;18;41894;19854.8;84100;82500;73500;95000;70000;98200
Capital Federal_Flores;8.6;18;142695;13592.4;151600;162000;138250;168750;110000;175400
Capital Federal_Floresta;2.4;18;39473;16447;100700;95000;87250;112500;82400;119800
Capital Federal_Las Canitas;15.6;18;225970;14485;122300;126000;107000;137250;99300;140900
