Date,CANT
15/02/2002,39960
15/02/2002,39960
15/02/2002,52243.2
21/02/2002,17414.4
22/02/2002,39960
22/02/2002,39960
22/02/2002,69657.6
22/02/2002,52243.2
25/02/2002,19980
28/02/2002,17414.4
1/03/2002,52243.2
1/03/2002,34828.8
1/03/2002,34828
1/03/2002,53280
6/03/2002,17414.4
8/03/2002,34828.8
8/03/2002,17414.4
8/03/2002,53280
8/03/2002,34828.8
11/03/2002,19980
1/03/2002,87072
1/03/2002,39150
1/03/2002,19575
6/03/2002,69657.6
7/03/2002,37005.6
8/03/2002,69657.6
8/03/2002,39150
8/03/2002,39150
14/03/2002,34828.8
14/03/2002,17414.44
14/03/2002,52243.2
15/03/2002,87072
15/03/2002,34828.88
15/03/2002,39960
15/03/2002,99900
19/03/2002,17400
19/03/2002,121900.8
21/03/2002,34828.8
21/03/2002,69657.6
21/03/2002,39960
25/03/2002,66918.5
26/03/2002,71040
26/03/2002,87072
27/03/2002,34828.8
30/03/2002,69657.6
30/03/2002,17414.4
2/04/2002,104486.4
2/04/2002,121900.8
2/04/2002,35520
2/04/2002,88800
4/04/2002,34828.8
5/04/2002,69657.6
5/04/2002,35520
5/04/2002,35520
5/04/2002,121900.8
9/04/2002,101638.4
11/04/2002,17414.4
11/04/2002,87072
11/04/2002,139315.2
11/04/2002,35520
11/04/2002,53280
18/04/2002,87072
18/04/2002,17414.4
19/04/2002,17414.4
19/04/2002,121900.8
19/04/2002,121900.8
19/04/2002,35520
19/04/2002,53280
22/04/2002,17414.4
25/04/2002,34828
25/04/2002,69657.6
26/04/2002,139315.2
26/04/2002,53280
26/04/2002,17414.4
29/04/2002,17414.4
29/04/2002,139315.2
30/04/2002,69657.6
30/04/2002,39960
2/05/2002,34828.8
3/05/2002,174144
3/05/2002,17760
8/05/2002,34828.8
10/05/2002,174144
10/05/2002,87072
10/05/2002,59940
10/05/2002,181508.8
16/05/2002,250005
16/05/2002,34828.8
17/05/2002,59940
17/05/2002,34828.8
18/05/2002,156729.6
21/05/2002,19591.2
23/05/2002,212709.6
23/05/2002,17414.4
23/05/2002,19980
23/05/2002,156729.6
23/05/2002,69657.6
27/05/2002,19591.2
31/05/2002,17414.4
31/05/2002,52243.2
31/05/2002,19980
31/05/2002,174144
31/05/2002,206814.1
3/06/2002,19591.2
7/06/2002,175468.2
7/06/2002,156729.6
7/06/2002,19591.2
7/06/2002,17414.4
7/06/2002,34828.8
7/06/2002,19980
13/06/2002,121900.8
13/06/2002,209335.6
13/06/2002,17414.4
13/06/2002,19591.2
13/06/2002,52243.2
14/06/2002,17414.4
14/06/2002,52243.2
20/06/2002,34828.8
20/06/2002,139315.2
24/06/2002,17414.4
28/06/2002,34828.8
28/06/2002,139315.2
28/06/2002,259420.1
4/07/2002,34828.8
4/07/2002,156729.6
12/07/2002,174144
12/07/2002,34828.8
16/07/2002,250277.5
16/07/2002,34828.8
16/07/2002,174144
24/07/2002,34828.8
24/07/2002,156729.6
25/07/2002,18067.44
1/08/2002,289550.68
1/08/2002,191558.4
1/08/2002,17414.4
9/08/2002,34828.8
9/08/2002,104486.4
16/08/2002,35520
16/08/2002,104486.4
16/08/2002,34828.8
21/08/2002,267383.6
21/08/2002,34828.8
21/08/2002,34828.8
21/08/2002,52243.2
22/08/2002,53280
29/08/2002,87072
29/08/2002,17414.4
29/08/2002,34828.8
29/08/2002,201190.74
29/08/2002,35520
3/09/2002,17414.4
3/09/2002,53280
3/09/2002,17414.4
3/09/2002,34828.8
3/09/2002,87072
10/09/2002,273333.52
13/09/2002,35520
13/09/2002,36388.84
13/09/2002,34828.8
13/09/2002,87072
13/09/2002,17414.4
13/09/2002,17414.4
19/09/2002,34828.8
19/09/2002,69657.6
19/09/2002,34828.8
19/09/2002,53280
19/09/2002,52243.2
27/09/2002,34828.8
27/09/2002,69657.6
27/09/2002,34828.8
27/09/2002,17328
27/09/2002,35520
27/09/2002,34828.8
30/09/2002,272154.42
4/10/2002,34828.8
4/10/2002,52243.2
4/10/2002,69657.6
5/10/2002,17328
5/10/2002,35520
11/10/2002,34828.8
11/10/2002,17328
11/10/2002,34828.8
11/10/2002,309105.6
11/10/2002,35520
11/10/2002,34828.8
11/10/2002,17414.4
17/10/2002,34828.8
17/10/2002,69657.6
17/10/2002,52243.2
17/10/2002,17328
17/10/2002,17760
24/10/2002,17414.4
24/10/2002,329513.1
25/10/2002,52243.2
25/10/2002,69657.6
25/10/2002,17414.4
25/10/2002,17328
25/10/2002,17760
25/10/2002,52243.2
30/10/2002,19591.2
4/11/2002,52243.2
4/11/2002,34828.8
4/11/2002,17414.4
4/11/2002,17544
4/11/2002,17760
4/11/2002,52243.2
4/11/2002,52243.2
5/11/2002,193571.94
7/11/2002,19591.2
8/11/2002,52243.2
8/11/2002,17414.4
8/11/2002,17760
8/11/2002,34828.8
8/11/2002,87072
14/11/2002,19591.2
14/11/2002,52243.2
14/11/2002,69657.6
14/11/2002,17414.4
14/11/2002,34828.8
14/11/2002,17760
21/11/2002,34828.8
21/11/2002,87072
21/11/2002,52243.2
21/11/2002,17760
21/11/2002,19591.2
21/11/2002,17414.4
27/11/2002,17760
28/11/2002,69657.6
28/11/2002,69657.6
28/11/2002,52243.2
28/11/2002,17414.4
29/11/2002,19591.2
2/12/2002,97502.5
4/12/2002,87072
4/12/2002,52243.2
4/12/2002,52243.2
4/12/2002,17414.4
5/12/2002,19591.2
5/12/2002,19591.2
5/12/2002,78002
6/12/2002,17414.4
11/12/2002,104486.4
11/12/2002,34828.8
11/12/2002,87072
11/12/2002,34828.8
13/12/2002,39182.4
18/12/2002,78002
18/12/2002,87072
18/12/2002,34828.8
18/12/2002,87072
18/12/2002,52243.2
19/12/2002,253.96
19/12/2002,39182.4
23/12/2002,51445.04
26/12/2002,87072
26/12/2002,34828.8
26/12/2002,87072
26/12/2002,52243.2
26/12/2002,39182.4
30/12/2002,78002
31/12/2002,87072
31/12/2002,52243.2
31/12/2002,87072
31/12/2002,69657.6
3/01/2003,39182.4
7/01/2003,76677.78
8/01/2003,52243.2
8/01/2003,139315.2
8/01/2003,52243.2
8/01/2003,52243.2
10/01/2003,39182.4
13/01/2003,78002
16/01/2003,39182.4
16/01/2003,104486.4
16/01/2003,13060.8
16/01/2003,91425.6
16/01/2003,17414.4
16/01/2003,34828.8
16/01/2003,78002
23/01/2003,39182.4
24/01/2003,69657.6
24/01/2003,52243.2
24/01/2003,87072
24/01/2003,69657.6
24/01/2003,97502.5
27/01/2003,19980
29/01/2003,104486.4
29/01/2003,52243.2
29/01/2003,87072
29/01/2003,87072
31/01/2003,58773.6
31/01/2003,39960
3/02/2003,117003
7/02/2003,104486.4
7/02/2003,9577.92
7/02/2003,25250.88
7/02/2003,87072
7/02/2003,69657.6
7/02/2003,58773.6
10/02/2003,39960
10/02/2003,117003
13/02/2003,58773.6
14/02/2003,19980
14/02/2003,87072
14/02/2003,52243.2
14/02/2003,59940
14/02/2003,69657.6
14/02/2003,13060.8
14/02/2003,21768
17/02/2003,107207.4
17/02/2003,9795.6
19/02/2003,87072
19/02/2003,69657.6
20/02/2003,58773.6
20/02/2003,87072
21/02/2003,107207.4
21/02/2003,9795.6
21/02/2003,59940
27/02/2003,58773.6
28/02/2003,87072
28/02/2003,87072
28/02/2003,69657.6
3/03/2003,9795.35
3/03/2003,48705.65
3/03/2003,59940
5/03/2003,87072
5/03/2003,87072
5/03/2003,69657.6
7/03/2003,59940
7/03/2003,58773.6
12/03/2003,18590
14/03/2003,87072
14/03/2003,69657.6
14/03/2003,58773.6
14/03/2003,6965.76
14/03/2003,10448.64
14/03/2003,69657.6
14/03/2003,19980
21/03/2003,58773
22/03/2003,87072
22/03/2003,69657.6
22/03/2003,19980
22/03/2003,104486.4
26/03/2003,18590
28/03/2003,58773.6
28/03/2003,13060.8
28/03/2003,21768
28/03/2003,87072
28/03/2003,87072
28/03/2003,87072
28/03/2003,19980
3/04/2003,31345.92
3/04/2003,3482.88
3/04/2003,52243.2
3/04/2003,87072
3/04/2003,87072
7/04/2003,58773.6
10/04/2003,87072
10/04/2003,104486.4
10/04/2003,87072
14/04/2003,19980
14/04/2003,58773.6
16/04/2003,22638.72
16/04/2003,12190.08
16/04/2003,87072
16/04/2003,69657.6
16/04/2003,87072
16/04/2003,19980
21/04/2003,58773.6
22/04/2003,18200
24/04/2003,31345.92
24/04/2003,3482.88
24/04/2003,87072
24/04/2003,87072
24/04/2003,104486.4
25/04/2003,58773.6
25/04/2003,19980
3/05/2003,104486.4
3/05/2003,10448.64
3/05/2003,41794.56
3/05/2003,104486.4
3/05/2003,69657.6
3/05/2003,35520
9/05/2003,58773.6
15/05/2003,139315.2
15/05/2003,12190.08
15/05/2003,22638.72
15/05/2003,104486.4
15/05/2003,69657.6
15/05/2003,17760
16/05/2003,58773.6
21/05/2003,29223.54
21/05/2003,29550.06
22/05/2003,121900.8
22/05/2003,7836.48
22/05/2003,26992.32
22/05/2003,104486.4
22/05/2003,69657.6
22/05/2003,17760
30/05/2003,58773.6
30/05/2003,104486.4
30/05/2003,13931.52
30/05/2003,3482.88
30/05/2003,104486.4
30/05/2003,87072
30/05/2003,17760
2/06/2003,17420
5/06/2003,87072
5/06/2003,104486.4
5/06/2003,87072
5/06/2003,58773.6
12/06/2003,39182.4
12/06/2003,87072
12/06/2003,6965.76
12/06/2003,10448.64
12/06/2003,104486.4
12/06/2003,69657.6
18/06/2003,18187
19/06/2003,52243.2
19/06/2003,1741.44
19/06/2003,67916.16
19/06/2003,69657.6
19/06/2003,104486.4
19/06/2003,17760
20/06/2003,39908
20/06/2003,19591.2
25/06/2003,69657.6
25/06/2003,38311.68
25/06/2003,13931.52
25/06/2003,69657.6
25/06/2003,87072
25/06/2003,17760
27/06/2003,39908
3/07/2003,50501.76
3/07/2003,53984.64
3/07/2003,69657.6
3/07/2003,69657.6
3/07/2003,17760
3/07/2003,39908
3/07/2003,121900.8
9/07/2003,24380.16
9/07/2003,27863.04
9/07/2003,69657.6
9/07/2003,69657.6
9/07/2003,104486.4
9/07/2003,17760
14/07/2003,17414.4
16/07/2003,52243.2
16/07/2003,17760
16/07/2003,104486.4
16/07/2003,121900.8
24/07/2003,13931.52
24/07/2003,20897.28
24/07/2003,69657.6
24/07/2003,34828.8
24/07/2003,104486.4
24/07/2003,17760
25/07/2003,17414.4
30/07/2003,13931.52
30/07/2003,20897.28
30/07/2003,69657.6
30/07/2003,104486.4
30/07/2003,52243.2
30/07/2003,17760
6/08/2003,13931.52
6/08/2003,20897.28
6/08/2003,69657.6
6/08/2003,34828.8
6/08/2003,139315.2
15/08/2003,52243.2
15/08/2003,121900.8
15/08/2003,18200
15/08/2003,13931.52
15/08/2003,20897.28
15/08/2003,69657.6
15/08/2003,39908
21/08/2003,69657.6
21/08/2003,34828.8
21/08/2003,121900.8
22/08/2003,39908
25/08/2003,17418
28/08/2003,69657.6
28/08/2003,121900.8
28/08/2003,52243.2
29/08/2003,39908
1/09/2003,18200
3/09/2003,34828.8
3/09/2003,121900.8
3/09/2003,69657.6
5/09/2003,39908
8/09/2003,19720
11/09/2003,87072
11/09/2003,34828.8
11/09/2003,87072
12/09/2003,39908
17/09/2003,19790
18/09/2003,87072
18/09/2003,34828.8
18/09/2003,104486.4
22/09/2003,39908
25/09/2003,35828.8
25/09/2003,121900.8
25/09/2003,87072
26/09/2003,39908
1/10/2003,104486.4
1/10/2003,121900.8
3/10/2003,39908
7/10/2003,103615.68
7/10/2003,87072
10/10/2003,39908
13/10/2003,69657.6
15/10/2003,121900.8
15/10/2003,34828.8
17/10/2003,39908
20/10/2003,69657.6
20/10/2003,87072
20/10/2003,34828.8
24/10/2003,39908
28/10/2003,69657.6
30/10/2003,39908
30/10/2003,37321.96
31/10/2003,52243.2
31/10/2003,34828.8
31/10/2003,104486.4
7/11/2003,18270.89
7/11/2003,39908
10/11/2003,121900.8
10/11/2003,52243.2
10/11/2003,52243.2
14/11/2003,39517.37
14/11/2003,39908
17/11/2003,69657.6
17/11/2003,104486.4
17/11/2003,69657.6
21/11/2003,19758.68
21/11/2003,39908
23/11/2003,69657.6
23/11/2003,34828.8
23/11/2003,17760
23/11/2003,104486.4
28/11/2003,39517.37
28/11/2003,39908
1/12/2003,34828.8
1/12/2003,52243.2
1/12/2003,87072
1/12/2003,17760
4/12/2003,59862
5/12/2003,87072
5/12/2003,52243.2
5/12/2003,87072
5/12/2003,39517.37
11/12/2003,18200
12/12/2003,59276.06
12/12/2003,69657.6
12/12/2003,34828.8
12/12/2003,121900.8
12/12/2003,71040
12/12/2003,59862
18/12/2003,59276.06
19/12/2003,59862
22/12/2003,69657.6
22/12/2003,52243.2
22/12/2003,121900.8
22/12/2003,71040
26/12/2003,59276.06
26/12/2003,59862
29/12/2003,69657.6
29/12/2003,69657.6
29/12/2003,121900.8
29/12/2003,88800
30/12/2003,18200
31/12/2003,59862
2/01/2004,59276.06
5/01/2004,69657.6
5/01/2004,69657.6
5/01/2004,121900.8
5/01/2004,88800
9/01/2004,59862
9/01/2004,65317.97
10/01/2004,52243.2
10/01/2004,52243.2
10/01/2004,208972.8
10/01/2004,88800
15/01/2004,85076.66
15/01/2004,59862
16/01/2004,18200
19/01/2004,87072
19/01/2004,52243.2
19/01/2004,139315.2
19/01/2004,88800
20/01/2004,19500
20/01/2004,19500
20/01/2004,14058
20/01/2004,18200
21/01/2004,59862
23/01/2004,85076.66
23/01/2004,17414.4
24/01/2004,87072
24/01/2004,52243.2
24/01/2004,104486.4
24/01/2004,106560
26/01/2004,19500
27/01/2004,19500
27/01/2004,19500
29/01/2004,18200
30/01/2004,59862
30/01/2004,18200
31/01/2004,63304
2/02/2004,19500
3/02/2004,34828.8
3/02/2004,17414.4
3/02/2004,121900.8
3/02/2004,106560
4/02/2004,17966
4/02/2004,18200
6/02/2004,18200
6/02/2004,39908
6/02/2004,59276.06
7/02/2004,17867
7/02/2004,19827
7/02/2004,19863
10/02/2004,34828.8
10/02/2004,52243.2
10/02/2004,104486.4
10/02/2004,106560
10/02/2004,39960
11/02/2004,18200
11/02/2004,18200
11/02/2004,18200
11/02/2004,18200
11/02/2004,18212
11/02/2004,19500
12/02/2004,81048.72
13/02/2004,99900
16/02/2004,19917
16/02/2004,19917
16/02/2004,39908
16/02/2004,20706.5
16/02/2004,20706.5
17/02/2004,69657.6
17/02/2004,34828.8
17/02/2004,104486.4
17/02/2004,17760
18/02/2004,18200
18/02/2004,18200
18/02/2004,18200
18/02/2004,18200
20/02/2004,59940
20/02/2004,57080.65
20/02/2004,87072
20/02/2004,34828.8
20/02/2004,104486.4
20/02/2004,35520
23/02/2004,19954
23/02/2004,19954
23/02/2004,19954
23/02/2004,19954
23/02/2004,19156
23/02/2004,19917
23/02/2004,19954
25/02/2004,36400
26/02/2004,59940
27/02/2004,87072
27/02/2004,34828.8
27/02/2004,121900.8
27/02/2004,17760
27/02/2004,44443
27/02/2004,35373
27/02/2004,20520
25/03/2004,17414
31/03/2004,17414
2/03/2004,39517.37
2/03/2004,15963
2/03/2004,19591
4/03/2004,39960
4/03/2004,21772.66
5/03/2004,36400
5/03/2004,18200
8/03/2004,39908
8/03/2004,39908
8/03/2004,19156
9/03/2004,121900.8
9/03/2004,52243.2
9/03/2004,121900.8
9/03/2004,71040
10/03/2004,18200
10/03/2004,36400
10/03/2004,18200
12/03/2004,43545.31
12/03/2004,19954
12/03/2004,19954
12/03/2004,19917
12/03/2004,19010
12/03/2004,19156
12/03/2004,79816
15/03/2004,104486.4
15/03/2004,34828.8
15/03/2004,121900.8
15/03/2004,35520
15/03/2004,57080.65
17/03/2004,19954
17/03/2004,9977
17/03/2004,9977
18/03/2004,36400
18/03/2004,18200
18/03/2004,18200
18/03/2004,39960
18/03/2004,18200
19/03/2004,59862
19/03/2004,38312
22/03/2004,37322
22/03/2004,19758
22/03/2004,21772
22/03/2004,87072
22/03/2004,52243.2
22/03/2004,121900.8
22/03/2004,35520
23/03/2004,7560
23/03/2004,11940
24/03/2004,18200
24/03/2004,18200
25/03/2004,21260.08
25/03/2004,18610.92
25/03/2004,39960
26/03/2004,57080
29/03/2004,87072
29/03/2004,34828.8
29/03/2004,121900.8
29/03/2004,53280
29/03/2004,79816
29/03/2004,19156
29/03/2004,21772
29/03/2004,16598
1/04/2004,19980
1/04/2004,36400
1/04/2004,18200
1/04/2004,18200
2/04/2004,18200
2/04/2004,98972
5/04/2004,34828.8
5/04/2004,104486.4
5/04/2004,71040
5/04/2004,17414
5/04/2004,52243.2
5/04/2004,94403
7/04/2004,19917
7/04/2004,39835
7/04/2004,18200
7/04/2004,18200
7/04/2004,39908
7/04/2004,57467.5
7/04/2004,17563.28
7/04/2004,18200
12/04/2004,69657.6
12/04/2004,87072
12/04/2004,71040
12/04/2004,17414.4
15/04/2004,18200
15/04/2004,18200
15/04/2004,18200
15/04/2004,18200
16/04/2004,56898.63
16/04/2004,21773
16/04/2004,21773
16/04/2004,38312
16/04/2004,59680.6
17/04/2004,69657.6
17/04/2004,69657.6
17/04/2004,17414.4
17/04/2004,88800
19/04/2004,39835
19/04/2004,17414
19/04/2004,14007.08
22/04/2004,18200
22/04/2004,18200
23/04/2004,18200
23/04/2004,18200
23/04/2004,18200
23/04/2004,69295
23/04/2004,30475
23/04/2004,53280
23/04/2004,52243.2
23/04/2004,52243.2
23/04/2004,104486.4
23/04/2004,19758.48
26/04/2004,43545.31
26/04/2004,19917.5
26/04/2004,19917.5
29/04/2004,17414
30/04/2004,38312
30/04/2004,61458
30/04/2004,18200
30/04/2004,17414.4
3/05/2004,52243.2
3/05/2004,69657.6
3/05/2004,53280
3/05/2004,18200
3/05/2004,104486.4
4/05/2004,18200
4/05/2004,18200
4/05/2004,18200
4/05/2004,63304
6/05/2004,21772.43
6/05/2004,19917.5
6/05/2004,19917.5
6/05/2004,19758.48
7/05/2004,38312
7/05/2004,61458
7/05/2004,37321.96
10/05/2004,52243.2
10/05/2004,52243.2
10/05/2004,53280
10/05/2004,19917
10/05/2004,121900.8
11/05/2004,18200
11/05/2004,18200
11/05/2004,18200
13/05/2004,18200
13/05/2004,18200
13/05/2004,18200
14/05/2004,19758.48
14/05/2004,59094.62
15/05/2004,52243.2
15/05/2004,139315.2
15/05/2004,34828.8
15/05/2004,53280
17/05/2004,80596
17/05/2004,19155.8
21/05/2004,17563.1
21/05/2004,80614.2
21/05/2004,19155.8
21/05/2004,18200
21/05/2004,18200
21/05/2004,18200
24/05/2004,52243.2
24/05/2004,121900.8
24/05/2004,52243.2
24/05/2004,35520
25/05/2004,36578.06
25/05/2004,18200
25/05/2004,18200
25/05/2004,18200
26/05/2004,19917.48
26/05/2004,17196.52
28/05/2004,18200
28/05/2004,18200
28/05/2004,18200
28/05/2004,43545.31
28/05/2004,18200
28/05/2004,18200
31/05/2004,69657.6
31/05/2004,19155.8
31/05/2004,60660.2
31/05/2004,34828.8
31/05/2004,139315.2
31/05/2004,17760
31/05/2004,19373
3/06/2004,18200
3/06/2004,18200
3/06/2004,18200
3/06/2004,18200
3/06/2004,18200
3/06/2004,18200
3/06/2004,17414.4
4/06/2004,19155.8
4/06/2004,38765
4/06/2004,80614.2
4/06/2004,59838.52
7/06/2004,34828.8
7/06/2004,17760
7/06/2004,34828.8
7/06/2004,104486.4
10/06/2004,18200
10/06/2004,18200
10/06/2004,18200
10/06/2004,18200
10/06/2004,17414.4
10/06/2004,18200
10/06/2004,18200
11/06/2004,19155.8
11/06/2004,63304
11/06/2004,59862
14/06/2004,34828.8
14/06/2004,121900.8
14/06/2004,17760
17/06/2004,18200
17/06/2004,18200
17/06/2004,18200
17/06/2004,18200
17/06/2004,18200
17/06/2004,17414.4
18/06/2004,18200
22/06/2004,17414.4
22/06/2004,17760
22/06/2004,121900.8
22/06/2004,18200
22/06/2004,18200
22/06/2004,18200
22/06/2004,34828.8
23/06/2004,17414.4
23/06/2004,18200
23/06/2004,18200
23/06/2004,18200
25/06/2004,84223.9
28/06/2004,17414.4
28/06/2004,34828.8
28/06/2004,156729.6
28/06/2004,17760
1/07/2004,80576.97
2/07/2004,16380
2/07/2004,16380
2/07/2004,39908
2/07/2004,19155.8
2/07/2004,18200
2/07/2004,17780
5/07/2004,17414.4
5/07/2004,52243.2
5/07/2004,17760
5/07/2004,139315.2
7/07/2004,18200
7/07/2004,18200
9/07/2004,19155.8
9/07/2004,39908
9/07/2004,73464.57
12/07/2004,52243.2
12/07/2004,156729.6
12/07/2004,17414.4
12/07/2004,17760
14/07/2004,16326
14/07/2004,16326
14/07/2004,18200
14/07/2004,16380
15/07/2004,18200
16/07/2004,59862
16/07/2004,16380
16/07/2004,16380
19/07/2004,34828.8
19/07/2004,139315.2
19/07/2004,17760
19/07/2004,52243.2
20/07/2004,16326
20/07/2004,17414
21/07/2004,78708.16
22/07/2004,16731
22/07/2004,16731
22/07/2004,18200
22/07/2004,18200
22/07/2004,16731
24/07/2004,19155.8
24/07/2004,19954
26/07/2004,17414
26/07/2004,34828.8
26/07/2004,139315
26/07/2004,17760
26/07/2004,34828.8
26/07/2004,16870
27/07/2004,16731
27/07/2004,18200
27/07/2004,18200
27/07/2004,16731
27/07/2004,16731
2/08/2004,17414.4
2/08/2004,52243.2
2/08/2004,17760
2/08/2004,139315.2
4/08/2004,16870
5/08/2004,19155.8
5/08/2004,17414
5/08/2004,39908
6/08/2004,18200
6/08/2004,18200
6/08/2004,16731
6/08/2004,16731
6/08/2004,16731
9/08/2004,52243.2
9/08/2004,139315.2
9/08/2004,17760
9/08/2004,34828.8
10/08/2004,16870
10/08/2004,112927.51
10/08/2004,17414
12/08/2004,16731
12/08/2004,16731
12/08/2004,16731
12/08/2004,18200
13/08/2004,19155.8
13/08/2004,39908
13/08/2004,39154.5
16/08/2004,34828.8
16/08/2004,52243.2
16/08/2004,156729.6
16/08/2004,17760
16/08/2004,17417.93
16/08/2004,39190.35
18/08/2004,16731
18/08/2004,16731
18/08/2004,16731
19/08/2004,39536
20/08/2004,18200
20/08/2004,39908
20/08/2004,19155.8
20/08/2004,18200
23/08/2004,17414.4
23/08/2004,34828.8
23/08/2004,174144
23/08/2004,57280
23/08/2004,17760
25/08/2004,16731
25/08/2004,18200
25/08/2004,18200
26/08/2004,16731
